Feature_Name,Influence_Strength
Total_approval_rate,0.10139268708654774
Approval_rate_2nd,0.09157400093691621
Curricular_units_2nd_sem_grade,0.05753493297290066
Curricular_units_2nd_sem_approved,0.055394686336646654
Approval_rate_1st,0.049467870920389574
Total_approved,0.048229621748914854
Financial_risk_index,0.038227884642739456
Curricular_units_1st_sem_grade,0.03479950597988603
Age_at_enrollment,0.03338892821103265
Admission_grade,0.032130131836891916
Previous_qualification_grade,0.029677729962274305
Grade_progression,0.028345551286411887
Curricular_units_1st_sem_approved,0.02814922842521127
Course,0.02592000790665541
Tuition_fees_up_to_date,0.025405933262682083
Curricular_units_2nd_sem_evaluations,0.02479388737179673
Curricular_units_1st_sem_evaluations,0.02392428551575905
Fathers_occupation,0.022743333571717525
Mothers_occupation,0.02139064796612273
GDP,0.019343220005908945
Unemployment_rate,0.01863181023249275
Inflation_rate,0.018435230902233868
Fathers_qualification,0.016320901802835117
Mothers_qualification,0.016051716341618675
Application_mode,0.01598749255993051
Approved_diff,0.015776900324944047
Total_enrolled,0.014404918275833652
Application_order,0.01146274182778849
Curricular_units_2nd_sem_enrolled,0.011304411039903513
Curricular_units_1st_sem_enrolled,0.011228054271344733
Scholarship_holder,0.009604166744827992
Debtor,0.006447570921472325
Gender,0.005799306631475249
Curricular_units_1st_sem_credited,0.005323438065628439
Previous_qualification,0.004924300780729957
Displaced,0.004663848175365069
Curricular_units_2nd_sem_credited,0.004355569200097404
Curricular_units_1st_sem_without_evaluations,0.004314951782442511
Marital_status,0.003874433588508953
Curricular_units_2nd_sem_without_evaluations,0.0031887144134275136
Daytime_evening_attendance,0.002322755501977524
Nacionality,0.0015748094991372967
Educational_special_needs,0.0010993869888944584
International,0.0010684941796843463
